id	document	label
1000039	sucks. that's all i got to say about this sorry excuse for a film. sucks. sucks. sucks. i mean, what the hell were they thinking? the idiots involved should never be allowed to make another films. the	0
1000040	superman ii - the richard donner cut should be a fan's dream come true. at long last, footage only seen in photos and scenes that only existed on the printed page would finally come to life. a directo	0
1000041	doll master is an example of a lousy horror film, fallen somewhere in the space with it's two not so well established genres, a horror film and an emotional drama film. seems like the doll master trie	0
1000042	doesn't this seem somewhat familiar? oh wait, that's right.. 90% of the jokes in this movie have already been done in the tv series. what's the point in repeating yourself, you may ask? is it for the 	0
1000043	in extramarital we see b-actress traci lords at her very best. she's all wrapped in horror & suspense here, a type of role that suits her very well.this mainstream movie lends a lot of its atmosphere 	1
1000044	i'm not sure what hk movies the other reviewers have been watching, but enter the eagles is nowhere near the top of the heap in hk action. michael fitz wong should be glad he can get acting jobs in hk	0
1000045	three of the things you can say about spalding gray are: he certainly marched to the beat of his own drummer; he was never at a loss for words; and he obviously felt that those watching and listening 	1
1000046	i like brad pitt enormously. he is an actor with brains and wit, not to mention face, pectorals and all the rest. since i saw him in thelma and louise a thought has been bothering me, who does he remi	0
1000047	have you ever found yourself watching a film or documentary and having to hold yourself back from screaming things like no! don't do it!? no? well it's time you do. and undoubtedly deep water is the o	1
1000048	the worst movie i have seen in a while. yeah its fun to fantasize, but if that is what you are looking for, i suggest you see brewsters millions. this was just terrible and corny and terrible at being	0
1000049	this was the second cinemascope spectacle that fox produced after the robe. notice how some of the roman sets are redressed to pass for egyptian sets. the film is produced with all first class element	1
1000050	the movie was certainly true to the real life story on which it was based. it was hard for me to find newspaper articles about the actual facts, but when i located them, i could see that truth, in thi	1
1000051	when this first came out, my dad brought it home- we were amazed by it- it was so different from anything we had seen before. i was looking for a specific movie last night, and i found the mind's eye 	1
1000052	where to start...oh yea, message to the bad guys: when you first find the person you have been tracking (in order to kill) that witnessed a crime you committed, don't spend time talking to her so that	0
1000053	i don't know what it is about this movie, the charisma of the two leads, their chemistry on screen, the chance to see matthau's real-life son (you can't miss him)or art carney's performance but i love	1
1000054	i tried. i really did. i thought that maybe, if i gave joao pedro rodrigues another chance, i could enjoy his movie. i know that after seeing o fantasma i felt ill and nearly disgusted to the core, bu	0
1000055	i often wonder why this series was slammed so much. i thought it was brilliant and also very cleverly written and performed. i think in time to come it will be seen in the light it deserves, that is i	1
1000056	the film, a universal release of a protelco-mlc production, is a boring retelling of the theory of breaking down the molecular structure of an object, capturing it in a cell as pure energy, and then s	0
1000057	i guess it's jack's great empathic ability that makes him the powerful performer that he is, but empathy comes at a price like all things-when he's surrounded by mediocrity he instinctively lowers the	0
1000058	i saw this movie on a fluke.i was standing on 42nd street waiting for a bus to go home and a sister started passing out free tickets for a preview of this movie.i gave it a chance not expecting much.t	1
1000059	this film has scenes that come back to me at the strangest times -- that intense scene with mr. muckerji telling mrs melandez that someone he spoke with witnesses the girl being pushed out the window 	1
1000060	the last dinosaur was one of those out of nowhere movie-of-the-week films in the 1970's that was pretty exciting for the time especially to fans of japanese tokusatsu films. originally slated for a th	1
1000061	i love this movie ! i think i've seen it 5 times already (it was quite a success in france and they often play it on tv). ok, it's a thriller and there is great tension. but mostly (and specifically i	1
1000062	the old dark house sub-genre that dominated the early talkies rarely fails to disappoint when we re-view the oldies to-day. here is one that provides so very many suspicious characters you have to won	1
1000063	okay, i've always been a fan of batman. i loved the animated series, and even batman beyond. i even read a batman comic now and then. so as can be imagined--i was a little excited when i heard about t	0
1000064	only seen season 1 so far but this is just great!! a wide variety of people stuck on a island. nobody are who they seem to be and everybody seems to have loads of skeletons in their closets .... it so	1
1000065	thanks to a smart script and a steady hand from writer/director kevin meyer, perfect alibi is an entertaining and very likable mystery thriller. the movie starts methodically and builds up steam as th	1
1000066	vhs - i have watched this over and over and loved every minute of it so much so i have now ordered the dvd i only wished the film could have lasted longer. i never worry about what other people think 	1
1000067	first of all, i would like to say that i am a fan of all of the actors that appear in this film and at the time that i rented it, i wanted to like it.i think that the main reason that i was so disappo	0
1000068	airport '77 starts as a brand new luxury 747 plane is loaded up with valuable paintings & such belonging to rich businessman philip stevens (james stewart) who is flying them & a bunch of vip's to his	0
1000069	when the american movie industry tries to critically look at their own government they make damn sure it looks good even when it's bad.the film does 1 thing right it demonstrates perfectly what is wro	0
1000070	kennan ivory wayans was so funny in low down dirty shame that i had to see this one and it was one of the worst he has done and steven seagal didn't help much. it starts off with some odd religious ki	0
1000071	though i can't claim to be a comic book fanatic, i have read my share, so i guess i'm part of the audience of this film, and i wasn't disappointed. it does run out of steam near the end, it's almost o	1
1000072	i saw this back in '94 when it was finally released. apparently because orion pictures was in bankruptcy, i think, the movie had not been released a couple of years earlier.i have problem remembering 	0
1000073	i caught this filmshow about the most unlikely, success? ,from a lower league, football team. the plot is thick and roles out some great tenuous twists and turns. intercut with shots and commentary fr	1
1000074	i have watched this movie over and over since it first came out. i was fifteen and even then, i knew it was cheesy. it had such great potential and i constantly rewrite the script in my head. the capo	0
1000075	picking this up along with the rest of the marx brothers box set, i found myself disappointed by most everything beyond a night at the opera. this stinker is prolly the worst i've seen of them so far,	0
1000076	i recently bought this movie for three bucks at a garage sale, and while i'm glad i didn't have to pay the usual $19.99 for this dvd, i was pleasantly surprised by how good the film was.it's set up li	1
1000077	the fifth black emanuelle i've watched has, potentially, the most intriguing plot line dealing as it does with the intrepid female reporter investigating the white slavery/prostitution racket which ta	0
1000078	with a special telescope, dr. janos rukh (boris karloff) successfully proves that years ago a meteorite landed in africa containing an unknown, but extremely powerful element. dr. benet(bela lugosi) f	1
1000079	i am an avid fan of violent exploitation cinema, who would never attack a film for being violent or disturbing. i consider cannibal holocaust a masterpiece and will always defend controversial films l	0
1000080	who could possibly have wished for a sequel to bert i. gordon's legendary bad trash-film food of the gods? nobody, of course, but director damien lee thought it was a good idea, anyway, and he put tog	0
1000081	as i watch this film, it is interesting to see how much it marginalizes black men. the film spends its time showing how powerless the most visible black man in it is (save for an heroic moment). for m	0
1000082	the only reason i watched the movie till the end was the hope to see something interesting. the movie is really bad and the performance of the girl it is really, really bad, honestly, i am not a movie	0
1000083	dragon ma (jackie chan)is back, having rid the seas of the dreaded pirate lo. back on land, he is assigned to the police force, where he is to clean up corruption and crime in a local suburb. along th	1
1000084	child 'sexploitation' is one of the most serious issues facing our world today and i feared that any film on the topic would jump straight to scenes of an explicitly sexual nature in order to shock an	1
1000085	i think that never been kissed was a totally awesome movie. the casting was really good and they acted very well. i really like drew barrymore and of course for me it was excellent. i was scared at fi	1
1000086	debbie vickers (nell schofield) and sue knight (jad capelja) want to become one of the cool girls in their high school. uncool and ugly girls had two options, be a mole or a prude! debbie and sue imit	1
1000087	when i heard that the dukes of hazzard was going to be remade with current actors and a solid script, i was like, alright, i'll give it a chance, it's not going to be better than the first, but we'll 	0
1000088	everything about this film is hog wash. pitiful acting, awful dialog, ugly native girls. this movie sinks into oblivion!!!!!!!!!!!!!!! the director must have been a weekend bender. robert c. is totall	0
1000089	while the overall idea of escape from atlantis was intriguing, i found the film to be far less than what i had hoped for upon reading the plot summery. perhaps i am too much of a child in the technolo	0
1000090	my opinions do not flow with the majority in most cases. i tend to lean toward the artsy, imaginative, and different. this movie was reminiscent of frances ford's the black stallion wherein a fantasy 	1
1000091	the blue planet series is, without a doubt, one of the greatest documentaries ever made on the ocean. for five years, filmmakers worked tirelessly on the series, getting footage that has never been se	1
1000092	along with aparadektoi, the best greek comedy series ever ! lefteris papapetrou writes and antonis aggelopoulos directs in a magnificent way soso, alekos, flora, achilleas, grandpa aristides, machi, j	1
1000093	all dogs go to heaven is, in my opinion, the best animated film ever made. i'm not really a big fan of animated films, but there's something about this one that makes it better than any other animated	1
1000094	i remember watching this movie with my friends when we were 4 years old, but the weird thing is that i never watched it after that. the other day i was babysitting and my cousin never saw all dogs go 	1
1000095	don't get me wrong - i love david suchet as poirot. i love the series as well as the movies but enough already re: death on the nile. everyone has done this one! we know who dies. we know why they die	0
1000096	...i saw this movie when it first came out in france, in my hometown, 54 years ago, i was nine, and today i still remember each black and white frame, especially the black ones, because it was so tens	1
1000097	released in december of 1957, sayonara went on to earn 8 oscar nominations and would pull in 4 wins. red buttons won the oscar for best supporting actor in his role as airman joe kelly who falls in lo	1
1000098	war, inc. - corporations take over war in the future and use a lone assassin brand hauser (john cusack) to do their wet-work against rival ceos. a dark comedy satirizing the military and corporations 	0
1000099	what is your freaking problem? do you have nothing better to do than sit on your fat asses and blog about about how you find something in bad taste? here's an idea:go outside. that's right: walk outsi	1
1000100	dick and jane harper (jim carrey, t?a leoni) wind up on the unemployment line when the corporation dick works for is caught in a corruption scandal, and after desperately and unsuccessfully trying to 	0
1000101	in the history of cinema, every great film-maker had to create a first film. many times when viewed after they have become a success, a light bulb goes on in our heads. the connection is made and we s	1
1000102	if only i had read the review by alex sander (sic) on here rather than looking at the rating of over 6 from a select choice of the ignorant viewing public i would not have seen this desecration. alien	0
1000103	i found this movie to be charming. i thought the characters were developed since as i watched, i found myself caring about these people. this is a period piece that i believe took place during the dep	1
1000104	i came across this film by accident and wish i hadn't.why make a sexually rude sequel (and some gore when a man is beheaded) of a well know children's movie.do not take young kids to see this the titl	0
1000105	****some spoilers****there's nothing in this movie that you haven't already seen browsing the net. nothing is shocking about this film. in the film a man sodomizes a goat, there's a bulldozer decapita	0
1000106	the plot has already been described by other reviewers, so i will simply add that my reason for wanting to see this film was to see gabrielle drake in all her undoubted glory.miss drake has to be one 	0
1000107	for most people, robocop 3 is the film that really is the big disgrace for the robo series. it has few fans, and most people hate it for it's shameless commercial pg-13 approach. now, i'm not going to	0
1000108	after viewing the film, i was truly shocked to see such a high rating on imdb.'the fantastic mr. fox' is an adaption of a beloved children's classic, portraying the story of the smooth, slick protagon	0
1000109	i can see the guys doing the budget preparation for this flick. well lets see now, we spend 50% getting dirk benidict, cause battle star galactic and the a-team were cool. the we spend 40% making a de	0
1000110	i was 15 years old when this movie premiered on the television. being raised in texas, i understood the boredom & monotony of teenage life there. this movie touched my impressionable teenage heart & i	1
1000111	i just finished watching this movie. i was very excited since i'm a big fan of punk rock, horror films and spoofs. i was very surprised at what i saw. i knew it was low budget, but i wasn't expecting 	0
1000112	i used to write comments at imdb, but i don't do so anymore. it happens that imdb has become massive, and consequently subjectiveness has ruined scores. what do i mean? that anyone that is not particu	1
1000113	though some would prefer to comment on the value of bond movies in the connection of learning frequency, and while most of the jargon that tends to limit bond to a meager 007 following has been exploi	0
1000114	this western is done in a different manner than most others. realism is the key here. conchata farrell comes to wyoming to work for rip torn on his ranch. how this is presented makes for a most intere	1
1000115	as main character lillith silver likes to point out - you know f**k all about vampires. it is evident that this statement was aimed at the cast and crew, who create an exceedingly bad image of everyon	0
1000116	i was recently online looking at a site that featured public domain movies. in their long list of films was this film and i thought i must be hallucinating at such an offensive title and premise. but,	0
1000117	1/10 and that's only because i don't go lower with my ratings.skip this movie and wait for the last movie of the trilogy, don't buy or rent it. trust me you won't be missing a thing. the architect bri	0
1000118	there's a unique place in the pantheon of john ford films for wagonmaster, sergeant rutledge, and the sun shines bright. it was these three films with no box office names in them that ford didn't have	1
1000119	first i have to say that i have read everything about this subject and i know it inside out, and i was excited about finally seeing it, too. but you have to read only the book this mini-series is base	0
1000120	even those of us who like cute animal pictures --- and i abhor them ---would be hard pressed to find any merit in this abysmally bad travesty of a film. perhaps inspired by 101 dalmatians with its sma	0
1000121	so there's this bride, you see, and she gets crushed to death by this statue that falls on her on the day of her wedding. then, get this, a year later, her former fianc? falls in love with a beautiful	0
1000122	watching this hilariously retro but very entertaining career girl tale, i was floored by joan crawford's first appearance. all i could think initially was, my god, it's the same face as michael jackso	1
1000123	the child's play series isn't a favourite of mine, but bride of chucky is actually an okay movie. this time we have two dolls chucky and his former girlfriend (when he was human) tiffany. together the	1
1000124	like another reviewer, i really wanted to like this movie. i went with my father who was the biggest lover and booster of classical music but neither of us could stand this movie. i wouldn't even call	0
1000125	caught the tail end of this movie channel surfing through the cable movie channels, and was so intrigued i sought out the next showing.i really didn't know what to expect after reading the program sum	1
1000126	there are good-bad movies and bad-bad-movies and enjoyably bad movies...this isn't one of them. this is a movie that doesn't realize just how bad it is.i saw this at a screening on november 14, 2006 a	0
1000127	a big disappointment for what was touted as an incredible film. incredibly bad. very pretentious. it would be nice if just once someone would create a high profile role for a young woman that was not 	0
1000128	i thought this movie was excellent. jon foster is one of my top favorite actors, he was perfect as micheal skakel. i found everything about it to be great, acting, costumes, production, directing, pho	1
1000129	embarassing is the only word to describe this laughingly awful production. from the blatant disregard of the source material (sure to infuriate anyone remotely familiar with mythology) to the predicta	0
1000130	notable only as the acting debut of future big-time hollywood starlet, sandra bullock, this ludicrous action flick is so full of holes that one might easily suspect termite infestation. the storyline 	0
1000131	this was not a good movie!! why do you people keep saying that? there is a nice little story going on and then some sexy girls and then bam vampires!!! why? why are there vampires? where did they come	0
1000132	the comedic might of pryor and gleason couldn't save this dog from the tissue-thin plot, weak script, dismal acting, and laughable continuity in editing this mess together. it has a very few memorable	0
1000133	one of those movies in which there are no big twists whatsoever and you can predict pretty much whats is going to happen. matt dillon was awesome once again, but the rest didn't played a bigger part a	0
1000134	this show disturbs me. it takes up slots on nick at nite that could be reserved for the fresh prince or george lopez. even full house and roseanne. they're all better than home improvement. first off,	0
1000135	yes, the plot is hardly plausible and very thin. yes, the acting does range from average to laughable. yes, it has been done so many times before. however what we are dealing with is a film that does 	1
1000136	despite all it's trappings of style and cinematic invention, this is basically another serial killer thriller, following the same sort of plotline favoured by such old favourites as silence of the lam	1
1000137	caroline bender (hope lange) is just killing time getting a job. her real ambition is to marry eddie and have a baby. april (diane baker) is too innocent to stay that way for long and falls in love to	1
1000138	the garden of allah was one of the first feature length, 3-strip technicolor films. to correct a previous poster the first technicolor feature (after disney's 5-year exclusivity deal) was 1935's becky	1
1000139	black candles is rather a muddled mess from the same director that brought us vampyres and much later, rest in pieces, among others..i'm only noting the ones i've seen. at any rate, we have a couple m	0
1000140	this movie is basically about some girls in a catholic school that end up getting into trouble because of putting red dye in one in one of their school mates shampoo and after being reprimanded for th	0
1000141	honestly, people who gave this movie a ten would have given 100 for pulp fiction. this is the level that we are dealing with here.the movie isn't bad but no way is it like omg, the best movie since pu	0
1000142	critters 4: this movie was continued after the 3rd critters movies. this one was released in the same years as critters 3 was released in 1991. critters 4 takes you in space as they hunt for the human	1
1000143	i love this movie, one of my all time favorites. ann blythe as sally o'moyne is sweet and trouble-free. she believes that praying to saint anne will solve all her and her friends troubles. the sub-plo	1
1000144	just below the surface lies what? a simply awful movie is what.as other viewers have justifiably commented, the storm sequences are just plain ridiculous. chopping already sodden firewood in the pouri	0
1000145	this movie was total cheese. it stank. the only thing good about it was the acting. other then that, nothing noteworthy at all.big time spoilers coming up! don't read anymore if you have not seen it!t	0
1000146	after seeing shootfighter 1, and the buckets of blood they shed, i was ready for another rousing jaunt of open handed heart massage, and chiropractics in a cage. but nooooooo, this was like the barney	0
1000147	by the time this film was released i had seen chorus line on stage 4 times, and had been anticipating most eagerly the long-rumored production of a film of the story. my wife and i were in line hours 	0
1000148	better than i expected from a film selling itself on the premise of nymphomania and inter-racial bondage. the music is great, and cinematography focuses greatly on turning ricci into a trailer trash b	1
1000149	my thoughts on the movie, 9it was not good, not good at all. visually, it was great. i was pleased with the pacing, the camera angles, etc. however, the characters? eh, kinda bland. plot? it sucked.th	0
1000150	if i could i would give zero stars for this one, but unfortunately i have to give one...there is no single scene i could laugh about... but the game didn't make me laugh either. so if you're some ill 	0
1000151	nothing happens.then characters with no personality don't develop.then the end never comes because there's no beginning and no middle.there are beautiful shots that are made not beautiful because they	0
1000152	ernest p. worrell comes through with his third movie presentation. jim varney not only plays ernest, but doubles as the evil mr. nash. from start to finish this movie has some solid laughs and makes a	1
1000153	it's hard to believe that a movie this bad wasn't produced once, but four times! most movies require a certain `suspension of reality' to enjoy, but this one takes it just too far. the basic scenario 	0
1000154	i highly recommend this movie to everyone. my son and i read the book first and then saw the movie. while the book was better (in my opinion) the movie was still great. my son and i agree that while w	1
1000155	when my wife and i decided to watch this movie we thought it couldn't fail. i love billy crystal, my wife loves julia roberts and everyone we talked to said they loved it.we were misled, in spades.on 	0
1000156	i am appalled and dismayed that the network has canceled talk show with spike feresten !!what is wrong with the fox television network, canceling talk show with spike feresten and replacing it with wa	1
1000157	this is a very unusual film in that the star with the top billing doesn't appear literally until half way in. nevertheless i was engaged by the hook of the phantom lady. curtis, though competent as th	1
1000158	what we have here is a damn good little nineties thriller that, while perhaps lacking in substance, still provides great entertainment throughout it's running time and overall does everything you coul	1
1000159	let's begin with that theme song sung by christopher cross. the song is if you get caught between the moon and new york city. it's a great theme and song even after all these years, it never gets tiri	1
1000160	my father was the warden of the prison (he is retired now) showcased in this documentary and i've grown up around the prison life, so perhaps my views will be totally different from everyone else who 	1
1000161	i saw this movie once a long time ago, just once, and i didn't know where it had come from, and i looked for about six years to find it, and i finally found it here at imdb.com! just the whole concept	1
1000162	here we go another pop star breaking in to the grand tv land and from my observations from her pop careers directors saying yeah your great gwen you could be a real star maybe some day you'll be in th	0
1000163	this movie is well done. it really attempts to show what the dinosaurs had to contend with in their daily lives. the animation is very well done and the film makers have done a great job of giving sci	1
1000164	i wish i could tell you that this film is as exciting as the theories it espouses. but i can't. another species could have come and mutated while i waited for some action. for such a controversial man	0
1000165	the one is a very aptly name show, mostly because it comes close to being the only network shows on in prime time that barely more than one person is watching.when i first heard of the one, i thought 	0
1000166	as a comic book reader, who still sees myself as a total kid at heart, i admit i might have been a bit biased towards this movie. i mean, there hasn't been a good superhero movie out for quite some ti	1
1000167	this film was very well advertised. i am an avid movie goer and have seen previews for this movie for months. while i was somewhat skeptical of how funny this movie would actually be, my friends thoug	0
1000168	a long time ago, way back in the early '80s, a late-night tv show fridays came to abc, trying to steal the limelight away from nbc's badly-listing saturday night live. it didn't but it did introduce s	0
1000169	bruce almighty is the best jim carrey work since the truman show, and was a pleasant surprise after some of his recent hey hollywood - look how good i can act! box office disappointments. it's great t	1
1000170	i have to say i totally loved the movie. it had it's funny moments, some heartwarming parts, just all around good. me, personally, really liked the movie because it's something that finally i can rela	1
1000171	if you liked this movie, be sure to check out others directed by hrebejk - you are in for a treat. this is unfortunately not his best, but still million times better than an average movie from the mai	1
1000172	i have to say although this movie was formulaic throughout with a plot stolen from films like friday the 13th/i know what you did last summer, this movie wasn't that bad. in fact it wasn't as bad as m	0
1000173	what if someone made a horror movie that was completely devoid of plot?well, i think it would probably end up a little bit like this one. i don't think i've ever seen a move was so steady it its slide	0
1000174	about the baby: why wasn't big brother assuming he'd be hungry for a bottle or some nourishment or a diaper change? he should have been screaming non-stop after that many hours without care. definitel	0
1000175	there's a certain allure i've always found in discovering the great (semi-) unknown film. these discoveries have nearly always been dramatic films - in my experience, unknown sci-fi, action and horror	1
1000176	a weird, witty and wonderful depiction of family life! writer andrew marshall has written something that is funny, foreboding and occasionally frightening! yes, don't be fooled by 2point4 children's c	1
1000177	this was an interesting movie...half-comedy, half-political thriller. it had a lot of good elements, although it was a little predictable. robin williams stars as tom dobbs, a popular comedian with a 	1
1000178	as a film buff, i obviously had read all the excruciating reviews and funny, sarcastic comments about this film (my favourite being woody allen's quip if i had my life to live over again i wouldn't ch	1
1000179	another first: this french movie is my introduction to the world eric rohmer. perhaps i'm a bit hasty when i say that this is probably my last rohmer movie but i was immediately turned off by the way 	0
1000180	this group of english pros are a pleasure to watch. the supporting cast could form a series of their own. it's a seen before love tiangle between the head of surgery, his wife, and a new pretty boy su	1
1000181	i'm a huge fan of both emily watson (breaking the waves) and tom wilkinson (normal) and was amused to see them upstaged by rupert everett (dellamorte dellamore) in this shockingly rather minor movie t	0
1000182	i remember watching the bsg pilot. i can describe that night exactly. i remember what chair i sat in. that show was magic. it came alive. i enjoyed the first two years of bsg. i enjoyed parts of the t	0
1000183	i anticipated this movie to be decent and possibly clich?, but i was completely wrong! charlie cox (i had never heard of him until now) played an incredibly good leading man; he was so earnest and rom	1
1000184	this movie is ridiculous! that's exactly what i like about this piece of guilty pleasure. it is easy to condemn this movie for not including pat priest and butch patrick, the original marilyn and eddi	1
1000185	version: universal / hong kong legends r4 dvd release. cantonese / english subtitlesonce upon a time, five years ago, the world was obsessed with 'the matrix', and i was perhaps one of the few fifteen	1
1000186	there seems to be little in the way of middle ground where watch on the rhine is concerned. one either likes it very much, applauding its sincerity, its liberal point of view and fine acting, or else 	0
1000187	this was a good movie. it wasn't your typical war flick but something a bit different. this movie showed us recruits in training before the war and not actually fighting a war. this film is one of the	1
1000188	the only reason i give this movie an 8 out of 10 is because there are few movies, in my opinion, that are perfect. this little b picture is a taut story, well told. i've always been intrigued by alexa	1
1000189	red rock west is one of those tight noir thrillers we rarely see anymore. it's well paced, well acted and doesn't leave us with loose ends or unanswered questions so typical in this genre.nicolas cage	1
1000190	blade is a fantastic action/thriller that keeps you captured for the whole duration and wesley snipes delivers what i would say to be his best performance yet.this film has everything that you would a	1
1000191	i know this film was shown on local tv when i was a kid, but i can't remember whether i watched it or not; seeing it now, considering how utterly forgettable it is, i still don't know ?so i counted it	0
1000192	s l o w, l o n g, d u l l. . .oh my god, dull. characters so annoying - you'll cringe every time you see jimy smits, or the guy that played tomtom from now on. they must have never rehearsed or review	0
1000193	this *should* have been an amazingly funny movie...but it falls flat on its face. (in fact, i stopped watching it halfway through, which is something i rarely do...) -- bill murray plays jack corcoran	0
1000194	'checking out' is an extraordinary film that towers above most film production. its refreshing, witty humor is never an excuse to remain superficial. to the contrary, the film explores multifarious fa	1
1000195	i really thought this wasn't that bad. not a great work of art but dermot m was the stronger performer by far. patricia arquette was overacting much of the time. he was actually playing cello which wa	1
1000196	i'm sorry to report that i have seen this film several times. when it bombed at the box office, it was repeated nightly for about a month on hbo. and i watched it over and over because television in g	0
1000197	this movie was really stupid and i thought that it wasn't so bad and i could tolerate a movie about a bed eating people. then the part near the end where the guy has skeleton hands ended up being the 	0
1000198	this world war ii film, set in borneo, tries so hard to work on so many levels, it is a shame it fails on all of them.nick nolte is an escaping american who witnesses the executions of his comrades by	0
1000199	the desperadoes (1943) is a genuine classic, not for its story (which is fairly routine), but for its technical production elements. this was a landmark western, the biggest ever at the time of its re	1
1000200	ken russell directed this weird ( not very ) erotic thriller and if i hadn't known that i would have staked my life that the director was brian depalma . absolutely everything about crimes of passion 	0
